0.600,0.600,1.000,1.400,0.910,0.820,0.891,0.850,0.424,0.942,0.740,0.203
0.600,0.650,0.950,1.450,0.874,0.837,0.909,0.844,0.455,0.969,0.799,0.188
0.600,0.850,0.700,1.350,0.978,0.801,0.840,0.769,0.436,0.750,0.752,0.239
0.650,0.650,0.900,1.500,0.706,0.837,0.859,0.863,0.560,0.926,0.999,0.179
0.650,0.750,0.800,1.400,0.889,0.851,0.881,0.840,0.508,0.899,0.878,0.179
0.650,0.700,0.850,1.450,0.888,0.829,0.862,0.837,0.446,0.968,0.997,0.168
0.600,0.750,0.850,1.450,0.803,0.797,0.881,0.844,0.506,0.934,0.950,0.184
0.600,0.750,0.900,1.400,0.969,0.816,0.899,0.887,0.474,0.924,0.859,0.168
0.600,0.650,0.900,1.350,0.966,0.845,0.863,0.855,0.555,0.982,0.888,0.150
0.650,0.600,0.900,1.550,0.664,0.836,0.830,0.851,0.700,0.846,0.981,0.185
0.600,0.700,0.850,1.300,0.836,0.790,0.865,0.841,0.449,0.989,0.991,0.177
0.650,0.650,0.900,1.300,0.982,0.819,0.863,0.858,0.475,0.875,0.864,0.181
0.600,0.650,0.950,1.300,0.895,0.818,0.871,0.863,0.536,0.998,0.693,0.190
