# la,lb,lc,ele,rg,hb,pi,gA,gB,gC,gA_max,gB_max,gC_max,rg_dist,SSE
     0.600,     0.650,     0.800,     1.250,     0.804,     0.819,     0.747,     0.722,     0.748,     0.747,      0.43,     0.781,     0.822,      0.01,     1.725
     0.600,     0.750,     0.800,     1.250,     0.962,     0.736,     0.897,     0.788,     0.869,     0.837,     0.397,     0.907,     0.955,     0.374,     0.937
     0.600,     0.750,     0.950,     1.250,      0.99,     0.662,      0.97,     0.821,     0.887,     0.849,     0.406,     0.716,     0.663,     0.201,     1.368
     0.600,     0.800,     0.700,     1.250,     0.827,     0.812,     0.816,     0.751,     0.829,     0.718,     0.453,     0.836,     0.678,     0.072,     1.561
     0.600,     0.800,     0.850,     1.150,     0.786,     0.502,     0.803,       0.8,     0.877,     0.859,     0.359,     0.677,     0.816,      0.01,     1.937
     0.600,     0.850,     0.600,     1.250,     0.946,     0.726,     0.899,     0.781,     0.831,     0.688,     0.388,     0.735,     0.591,     0.322,     1.334
     0.600,     0.850,     0.700,     1.350,      0.74,     0.978,     0.706,     0.801,      0.84,     0.769,     0.436,      0.75,     0.752,       0.0,     1.715
     0.600,     0.900,     0.600,     1.350,     0.768,     0.925,     0.717,     0.781,     0.854,     0.666,      0.42,     0.763,     0.554,       0.0,     1.912
     0.650,     0.650,     0.850,     1.000,     0.966,     0.368,     0.863,     0.783,     0.849,     0.828,     0.372,     0.999,     0.921,     0.395,     1.285
     0.650,     0.850,     0.600,     1.250,     0.843,     0.817,     0.744,     0.791,     0.842,     0.653,      0.44,     0.775,     0.576,     0.137,     1.601
     0.650,     0.850,     0.750,     1.200,     0.936,     0.583,     0.945,      0.81,     0.842,     0.855,     0.327,     0.596,     0.999,     0.276,     1.403
     0.700,     0.700,     0.850,     1.000,     0.925,     0.314,     0.947,     0.812,     0.878,     0.836,     0.328,     0.756,     0.851,     0.242,     1.664
     0.700,     0.750,     0.750,     1.500,     0.795,     0.719,     0.756,     0.826,     0.874,      0.76,     0.374,     0.976,     0.697,     0.036,     1.698
     0.700,     0.750,     0.800,     1.500,     0.962,      0.75,     0.897,     0.835,     0.893,     0.871,     0.383,     0.932,     0.936,     0.363,     0.925
     0.700,     0.750,     0.850,     1.250,     0.962,       0.6,     0.869,     0.811,     0.883,     0.869,     0.287,     0.758,     0.849,     0.093,     1.658
     0.700,     0.850,     0.850,     1.200,     0.804,     0.445,     0.836,     0.788,      0.83,     0.882,     0.272,      0.51,     0.787,     0.032,     2.214
     0.750,     0.650,     0.750,     1.000,     0.992,     0.349,     0.887,     0.808,     0.824,     0.778,     0.316,     0.929,     0.814,     0.489,     1.322
